Team,Stadium,Capacity,City,Population,Conference
Dallas Cowboys,Cowboys Stadium,"80,000","Arlington, TX","1,197,816",NFC East
New York Giants,New Meadowlands Stadium,"82,500","East Rutherford, NJ","8,175,133",NFC East
Philadelphia Eagles,Lincoln Financial Field,"67,600","Philadelphia, PA","1,526,006",NFC East
Washington Redskins,Fed Ex Field,"91,700","Landover, MD","601,723",NFC East
Arizona Cardinals,University of Pheonix Stadium,"63,400","Glendale, AZ","226,721",NFC West
San Francisco 49ers,Candlestick Park,"69,700","San Francisco, CA","805,235",NFC West
Seattle Seahawks,Century Link Field,"67,000","Seattle, WA","608,660",NFC West
St. Louis Rams,Edward Jones Dome,"66,000","St. Louis, MO","319,294",NFC West
Chicago Bears,Soldier Field,"61,500","Chicago, IL","2,695,598",NFC North
Detroit Lions,Ford Field,"64,500","Detroit, MI","713,777",NFC North
Green Bay Packers,Lambeau Field,"73,000","Green Bay, WI","104,057",NFC North
Minnesota Vikings,Metrodome,"64,000","Minneapolis, MN","382,578",NFC North
Atlanta Falcons,Georgia Dome,"71,250","Atlanta, GA","420,003",NFC South
Carolina Panthers,Bank of America Stadium,"73,800","Charolette, NC","731,424",NFC South
New Orleans Saints,Superdome,"65,000","New Orleans, LA","343,829",NFC South
Tampa Bay Buccaneers,Raymond Jones Stadium,65900,"Tampa, FL","335,709",NFC South
Buffalo Bills,Ralph Wilson Stadium,"73,000","Orchard Park, NY","261,310",AFC East
Miami Dolphins,Sun Life Stadium,"75,000","Miami, FL","399,457",AFC East
New England Patriots,Gillette Stadium,"68,800","Foxborough, MA","16,865",AFC East
New York Jets,New Meadowlands Stadium,"82,500","East Rutherford, NJ","8,175,133",AFC East
Denver Broncos,Invesco Field at Mile High,"76,100","Denver, CO","600,158",AFC West
Kansas City Chiefs,Arrowhead Stadium,"76,800","Kansas City, MO","459,787",AFC West
Oakland Raiders,O.co Coliseum,"63,000","Oakland, CA","390,724",AFC West
San Diego Chargers,Qualcomm Stadium,"70,000","San Diego, CA","1,307,402",AFC West
Baltimore Ravens,M&T Bank Stadium,"71,000","Baltimore, MD","620,961",AFC North
Cincinnati Bengals,Paul Brown Stadium,"65,500","Cincinnati, OH","296,943",AFC North
Cleveland Browns,Cleveland Browns Stadium,"73,200","Cleveland, OH","396,815",AFC North
Pittsburgh Steelers,Heinz Field,"65,000","Pittsburgh, PA","305,704",AFC North
Houston Texans,Reliant Stadium,"71,000","Houston, TX","2,099,451",AFC South
Indianapolis Colts,Lucas Oil Stadium,"63,000","Indianapolis, IN","820,445",AFC South
Jacksonville Jaguars,EverBank Field,"67,200","Jacksonville, FL","821,784",AFC South
Tennessee Titans,LP Field,"69,100","Nashville, TN","601,222",AFC South
